series_id,model_id,asset_code,asset_subtype,asset_type,benchmark,benchmark_code,category_code,country,country_code,dm_em,description,frequency,geography,investor_category,investor_origin,investor_subtype,investor_type,key,lag,name,origin_code,region,sector,start_date,subtype_code,type_code,update_time
GLCRYPTOFUTUBTCMIXINSSPEMIX,CFTC,FUTU,Futures,CRYPTO,btc1 curncy,BTC,INS,Global,GL,DM,Non Commercial investor positioning in Bitcoin futures,Weekly,GLOBAL,Institutional,Mixed,Mixed,Speculative,GLOBAL/Global/DM/Global/CRYPTO/Futures/Mixed/Institutional/Speculative/Mixed/GLCRYPTOFUTUBTCMIXINSSPEMIX.csv,7,Non-commercial inv. Bitcoin ,MIX,Global,,18/04/2018,MIX,SPE,07:00:00
USFIFUTUSERMIXINSSPEMIX,CFTC,FUTU,Futures,FI,ser3 comdty,SER,INS,US,US,DM,Non Commercial investor positioning in 1-month SOFR futures,Weekly,AMER,Institutional,Mixed,Mixed,Speculative,AMER/NA/DM/US/FI/Futures/Mixed/Institutional/Speculative/Mixed/USFIFUTUSERMIXINSSPEMIX.csv,7,Non-commercial inv. 1-month SOFR ,MIX,,,18/07/2018,MIX,SPE,07:00:00
USFIFUTUSFRMIXINSSPEMIX,CFTC,FUTU,Futures,FI,sfr3 comdty,SFR,INS,US,US,DM,Non Commercial investor positioning in 3-month SOFR futures,Weekly,AMER,Institutional,Mixed,Mixed,Speculative,AMER/NA/DM/US/FI/Futures/Mixed/Institutional/Speculative/Mixed/USFIFUTUSFRMIXINSSPEMIX.csv,7,Non-commercial inv. 3-month SOFR ,MIX,,,18/07/2018,MIX,SPE,07:00:00
USEQFUTUWSPMIXINSSPEMIX,CFTC,FUTU,Futures,EQ,wsp1 index,WSP,INS,US,US,DM,Non Commercial investor positioning in S&P500 futures,Weekly,AMER,Institutional,Mixed,Mixed,Speculative,AMER/NA/DM/US/EQ/Futures/Mixed/Institutional/Speculative/Mixed/USEQFUTUWSPMIXINSSPEMIX.csv,7,Non-commercial inv. S&P500 ,MIX,,,20/07/2020,MIX,SPE,07:00:00
GLCRYPTOFUTUMERMIXINSSPEMIX,CFTC,FUTU,Futures,CRYPTO,mer1 curncy,MER,INS,Global,GL,DM,Non Commercial investor positioning in Micro Ether futures,Weekly,GLOBAL,Institutional,Mixed,Mixed,Speculative,GLOBAL/Global/DM/Global/CRYPTO/Futures/Mixed/Institutional/Speculative/Mixed/GLCRYPTOFUTUMERMIXINSSPEMIX.csv,7,Non-commercial inv. Micro Ether ,MIX,Global,,21/12/2021,MIX,SPE,07:00:00
GLCOMFUTUSI1MIXINSSPEMAN,CFTC_DISAGG_COM,FUTU,Futures,COM,si1 comdty,SI1,INS,Global,GL,DM,Managed Money investor positioning in Silver futures,Weekly,GLOBAL,Institutional,Mixed,Managed money,Speculative,GLOBAL/Global/DM/Global/COM/Futures/Mixed/Institutional/Speculative/Managed money/GLCOMFUTUSI1MIXINSSPEMAN.csv,7,Managed Money Silver ,MIX,Global,,06/09/2006,MAN,SPE,07:00:00
GLCOMFUTUBO1MIXINSSPEMAN,CFTC_DISAGG_COM,FUTU,Futures,COM,bo1 comdty,BO1,INS,Global,GL,DM,Managed Money investor positioning in Soybean Oil futures,Weekly,GLOBAL,Institutional,Mixed,Managed money,Speculative,GLOBAL/Global/DM/Global/COM/Futures/Mixed/Institutional/Speculative/Managed money/GLCOMFUTUBO1MIXINSSPEMAN.csv,7,Managed Money Soybean Oil ,MIX,Global,,06/09/2006,MAN,SPE,07:00:00
GLCOMFUTUXB1MIXINSSPEMAN,CFTC_DISAGG_COM,FUTU,Futures,COM,xb1 comdty,XB1,INS,Global,GL,DM,Managed Money investor positioning in Gasoline futures,Weekly,GLOBAL,Institutional,Mixed,Managed money,Speculative,GLOBAL/Global/DM/Global/COM/Futures/Mixed/Institutional/Speculative/Managed money/GLCOMFUTUXB1MIXINSSPEMAN.csv,7,Managed Money Gasoline ,MIX,Global,,06/09/2006,MAN,SPE,07:00:00
GLCOMFUTUHO1MIXINSSPEMAN,CFTC_DISAGG_COM,FUTU,Futures,COM,ho1 comdty,HO1,INS,Global,GL,DM,Managed Money investor positioning in Heating Oil futures,Weekly,GLOBAL,Institutional,Mixed,Managed money,Speculative,GLOBAL/Global/DM/Global/COM/Futures/Mixed/Institutional/Speculative/Managed money/GLCOMFUTUHO1MIXINSSPEMAN.csv,7,Managed Money Heating Oil ,MIX,Global,,06/09/2006,MAN,SPE,07:00:00
GLCOMFUTUCL1MIXINSSPEMAN,CFTC_DISAGG_COM,FUTU,Futures,COM,cl1 comdty,CL1,INS,Global,GL,DM,Managed Money investor positioning in WTI Crude futures,Weekly,GLOBAL,Institutional,Mixed,Managed money,Speculative,GLOBAL/Global/DM/Global/COM/Futures/Mixed/Institutional/Speculative/Managed money/GLCOMFUTUCL1MIXINSSPEMAN.csv,7,Managed Money WTI Crude ,MIX,Global,,06/09/2006,MAN,SPE,07:00:00
GLCOMFUTUS1MIXINSSPEMAN,CFTC_DISAGG_COM,FUTU,Futures,COM,s 1 comdty,S1,INS,Global,GL,DM,Managed Money investor positioning in Soybean futures,Weekly,GLOBAL,Institutional,Mixed,Managed money,Speculative,GLOBAL/Global/DM/Global/COM/Futures/Mixed/Institutional/Speculative/Managed money/GLCOMFUTUS1MIXINSSPEMAN.csv,7,Managed Money Soybean ,MIX,Global,,06/09/2006,MAN,SPE,07:00:00
GLCOMFUTUW1MIXINSSPEMAN,CFTC_DISAGG_COM,FUTU,Futures,COM,w 1 comdty,W1,INS,Global,GL,DM,Managed Money investor positioning in Wheat futures,Weekly,GLOBAL,Institutional,Mixed,Managed money,Speculative,GLOBAL/Global/DM/Global/COM/Futures/Mixed/Institutional/Speculative/Managed money/GLCOMFUTUW1MIXINSSPEMAN.csv,7,Managed Money Wheat ,MIX,Global,,06/09/2006,MAN,SPE,07:00:00
GLCOMFUTUSM1MIXINSSPEMAN,CFTC_DISAGG_COM,FUTU,Futures,COM,sm1 comdty,SM1,INS,Global,GL,DM,Managed Money investor positioning in Soybean Meal futures,Weekly,GLOBAL,Institutional,Mixed,Managed money,Speculative,GLOBAL/Global/DM/Global/COM/Futures/Mixed/Institutional/Speculative/Managed money/GLCOMFUTUSM1MIXINSSPEMAN.csv,7,Managed Money Soybean Meal ,MIX,Global,,06/09/2006,MAN,SPE,07:00:00
JPEQFUTUNH1MIXINSSPEMIX,CFTC,FUTU,Futures,EQ,nh1 index,NH1,INS,Japan,JP,DM,Non Commercial investor positioning in Nikkei futures,Weekly,APAC,Institutional,Mixed,Mixed,Speculative,APAC/Asia/DM/Japan/EQ/Futures/Mixed/Institutional/Speculative/Mixed/JPEQFUTUNH1MIXINSSPEMIX.csv,7,Non-commercial inv. Nikkei ,MIX,Asia,,06/09/2006,MIX,SPE,07:00:00
